nome_clietne;Via;Città;Cap;Provincia;titolare_azienda;recapiti_mail;ANNO;IMPONIBILE
PIROLA GIOVANNI SNC;VIA L. DA VINCI, 56-58;CASSANO D'ADDA;20062;MI;PIROLA DANIELE;"info@passamaneriapirola.com; amministrazione@passamaneriapirola.com";2018;563,47
PIROLA GIOVANNI SNC;VIA L. DA VINCI, 56-58;CASSANO D'ADDA;20062;MI;PIROLA DANIELE;"info@passamaneriapirola.com; amministrazione@passamaneriapirola.com";2019;908,69
REAL KNITTING DOO;UL. PATRIJARHA PAVLA BR. 76;GAJDOBRA, BACKA PALANKA, SRBIJA;21432;;ANDREA PIZZOCOLO 340.8102946.;"ivana.vujic@realknitting.eu;petar.krajisnik@realknitting.eu";2012;1290,58
REAL KNITTING DOO;UL. PATRIJARHA PAVLA BR. 76;GAJDOBRA, BACKA PALANKA, SRBIJA;21432;;ANDREA PIZZOCOLO 340.8102946.;"ivana.vujic@realknitting.eu;petar.krajisnik@realknitting.eu";2013;18409,26
REAL KNITTING DOO;UL. PATRIJARHA PAVLA BR. 76;GAJDOBRA, BACKA PALANKA, SRBIJA;21432;;ANDREA PIZZOCOLO 340.8102946.;"ivana.vujic@realknitting.eu;petar.krajisnik@realknitting.eu";2014;7732,85
REAL KNITTING DOO;UL. PATRIJARHA PAVLA BR. 76;GAJDOBRA, BACKA PALANKA, SRBIJA;21432;;ANDREA PIZZOCOLO 340.8102946.;"ivana.vujic@realknitting.eu;petar.krajisnik@realknitting.eu";2015;6658,11
REAL KNITTING DOO;UL. PATRIJARHA PAVLA BR. 76;GAJDOBRA, BACKA PALANKA, SRBIJA;21432;;ANDREA PIZZOCOLO 340.8102946.;"ivana.vujic@realknitting.eu;petar.krajisnik@realknitting.eu";2016;20357,28
REAL KNITTING DOO;UL. PATRIJARHA PAVLA BR. 76;GAJDOBRA, BACKA PALANKA, SRBIJA;21432;;ANDREA PIZZOCOLO 340.8102946.;"ivana.vujic@realknitting.eu;petar.krajisnik@realknitting.eu";2017;35879,9
REAL KNITTING DOO;UL. PATRIJARHA PAVLA BR. 76;GAJDOBRA, BACKA PALANKA, SRBIJA;21432;;ANDREA PIZZOCOLO 340.8102946.;"ivana.vujic@realknitting.eu;petar.krajisnik@realknitting.eu";2018;22404,8
REAL KNITTING DOO;UL. PATRIJARHA PAVLA BR. 76;GAJDOBRA, BACKA PALANKA, SRBIJA;21432;;ANDREA PIZZOCOLO 340.8102946.;"ivana.vujic@realknitting.eu;petar.krajisnik@realknitting.eu";2019;24822,65
REAL KNITTING DOO;UL. PATRIJARHA PAVLA BR. 76;GAJDOBRA, BACKA PALANKA, SRBIJA;21432;;ANDREA PIZZOCOLO 340.8102946.;"ivana.vujic@realknitting.eu;petar.krajisnik@realknitting.eu";2020;12092,33
REAL KNITTING DOO;UL. PATRIJARHA PAVLA BR. 76;GAJDOBRA, BACKA PALANKA, SRBIJA;21432;;ANDREA PIZZOCOLO 340.8102946.;"ivana.vujic@realknitting.eu;petar.krajisnik@realknitting.eu";2021;11729,13
REAL KNITTING DOO;UL. PATRIJARHA PAVLA BR. 76;GAJDOBRA, BACKA PALANKA, SRBIJA;21432;;ANDREA PIZZOCOLO 340.8102946.;"ivana.vujic@realknitting.eu;petar.krajisnik@realknitting.eu";2022;10505,89
CALZIFICIO CHIARA di Giannelli Marco;P.ZA PRIMICELI 22 - ZONA A.E.V.;RACALE;73055;LE;MARCO GIANNELLI;"gmcalzificiochiara@tiscali.it;calzificiochiara@gmail.com;";2013;4375,41
CALZIFICIO CHIARA di Giannelli Marco;P.ZA PRIMICELI 22 - ZONA A.E.V.;RACALE;73055;LE;MARCO GIANNELLI;"gmcalzificiochiara@tiscali.it;calzificiochiara@gmail.com;";2015;1062,68
CALZIFICIO CHIARA di Giannelli Marco;P.ZA PRIMICELI 22 - ZONA A.E.V.;RACALE;73055;LE;MARCO GIANNELLI;"gmcalzificiochiara@tiscali.it;calzificiochiara@gmail.com;";2017;1600,68
CALZIFICIO CHIARA di Giannelli Marco;P.ZA PRIMICELI 22 - ZONA A.E.V.;RACALE;73055;LE;MARCO GIANNELLI;"gmcalzificiochiara@tiscali.it;calzificiochiara@gmail.com;";2018;2850,8
CALZIFICIO CHIARA di Giannelli Marco;P.ZA PRIMICELI 22 - ZONA A.E.V.;RACALE;73055;LE;MARCO GIANNELLI;"gmcalzificiochiara@tiscali.it;calzificiochiara@gmail.com;";2019;3392,97
CALZIFICIO CHIARA di Giannelli Marco;P.ZA PRIMICELI 22 - ZONA A.E.V.;RACALE;73055;LE;MARCO GIANNELLI;"gmcalzificiochiara@tiscali.it;calzificiochiara@gmail.com;";2020;1960,59
CALZIFICIO CHIARA di Giannelli Marco;P.ZA PRIMICELI 22 - ZONA A.E.V.;RACALE;73055;LE;MARCO GIANNELLI;"gmcalzificiochiara@tiscali.it;calzificiochiara@gmail.com;";2021;11184,12
CALZIFICIO CHIARA di Giannelli Marco;P.ZA PRIMICELI 22 - ZONA A.E.V.;RACALE;73055;LE;MARCO GIANNELLI;"gmcalzificiochiara@tiscali.it;calzificiochiara@gmail.com;";2022;20169,33
CALZIFICIO CHIARA di Giannelli Marco;P.ZA PRIMICELI 22 - ZONA A.E.V.;RACALE;73055;LE;MARCO GIANNELLI;"gmcalzificiochiara@tiscali.it;calzificiochiara@gmail.com;";2023;2983,87
DE IACO RITA Calzificio;VIA MONTE CERVINO, 10 Z.I.;MELISSANO;73040;LE;;calzificiodeiaco@hotmail.com;2021;3485,76
DE IACO RITA Calzificio;VIA MONTE CERVINO, 10 Z.I.;MELISSANO;73040;LE;;calzificiodeiaco@hotmail.com;2023;4773,61
2M SRL;VIA PORTICI UMBERTO PRIMO, 5/3;MALCESINE;37018;VR;MATTIA BISSOLOTTI GIORGIO BERNA GUI;"guido.ferrari@calzedonia.it; elena.marchetti@calzedonia.it";2021;19272,18
A.F. Maglieria Alberini s.n.c.;Via D.G. Dossetti 1;Gonzaga;46023;MN;ALBERINI;"alberto@afmaglieria.it; info@afmaglieria.it";2024;1305,54
A.F. Maglieria Alberini s.n.c.;Via D.G. Dossetti 1;Gonzaga;46023;MN;ALBERINI;"alberto@afmaglieria.it; info@afmaglieria.it";2025;518,88
ACCESSORI TESSILI OLMI SRL;VIA GANDHI 1;TREVIOLO;24048;BG;;access1b@acctessolmi.191.it;2014;644
ACHILLE VALERA LISSONI s.r.l.;VIA NANDO TINTORRI 19/23;CONCOREZZO;20863;MB;ANDREA LISSONI - LARA = 338 7219495;"risso@valera.it; 'valera - acquisti' <acquisti@valera.it>";2021;10,5
ACHILLE VALERA LISSONI s.r.l.;VIA NANDO TINTORRI 19/23;CONCOREZZO;20863;MB;ANDREA LISSONI - LARA = 338 7219495;"risso@valera.it; 'valera - acquisti' <acquisti@valera.it>";2024;1799,68
ADRIANTEX di Spinoni Adriana;VIA J.F. KENNEDY 1;BORGO S.GIACOMO;25022;BS;ADRIANA;adriantex@sonic.it;2011;375,23
AGAV SRL;VIA F.LLI CERVI 7/9;GERNO DI LESMO;20855;MB;Edoardo Viganò;michela@agavsrl.it;2017;2708,82
AGAV SRL;VIA F.LLI CERVI 7/9;GERNO DI LESMO;20855;MB;Edoardo Viganò;michela@agavsrl.it;2018;433,7
AGAV SRL;VIA F.LLI CERVI 7/9;GERNO DI LESMO;20855;MB;Edoardo Viganò;michela@agavsrl.it;2019;22871,8
AGAV SRL;VIA F.LLI CERVI 7/9;GERNO DI LESMO;20855;MB;Edoardo Viganò;michela@agavsrl.it;2020;58549,67
AGAV SRL;VIA F.LLI CERVI 7/9;GERNO DI LESMO;20855;MB;Edoardo Viganò;michela@agavsrl.it;2021;8615,42
AGAV SRL;VIA F.LLI CERVI 7/9;GERNO DI LESMO;20855;MB;Edoardo Viganò;michela@agavsrl.it;2022;6943,9
AGAV SRL;VIA F.LLI CERVI 7/9;GERNO DI LESMO;20855;MB;Edoardo Viganò;michela@agavsrl.it;2023;15038,89
AGAV SRL;VIA F.LLI CERVI 7/9;GERNO DI LESMO;20855;MB;Edoardo Viganò;michela@agavsrl.it;2024;17428,16
AGAV SRL;VIA F.LLI CERVI 7/9;GERNO DI LESMO;20855;MB;Edoardo Viganò;michela@agavsrl.it;2025;1318,72
ALBA & CO di Potenza Lucialba ;VIA XXV LUGLIO, 16;MELISSANO;73040;LE;"CRISTINA; Daniele";amministrazione@alba-co.it;2022;1009,19
ALBA & CO di Potenza Lucialba ;VIA XXV LUGLIO, 16;MELISSANO;73040;LE;"CRISTINA; Daniele";amministrazione@alba-co.it;2023;4474,43
ALBA & CO di Potenza Lucialba ;VIA XXV LUGLIO, 16;MELISSANO;73040;LE;"CRISTINA; Daniele";amministrazione@alba-co.it;2024;1242,78
ALBERTO BARDAZZI SPA;VIA TOSCANA 9/11 - Z.I. MACROLOTTO;PRATO;59100;PO;FEDERICO VALENTE - Sandro Meoni;s.guazzini@bardazzi.it;2020;1837,38
ALBERTO BARDAZZI SPA;VIA TOSCANA 9/11 - Z.I. MACROLOTTO;PRATO;59100;PO;FEDERICO VALENTE - Sandro Meoni;s.guazzini@bardazzi.it;2021;453,34
ALBERTO BARDAZZI SPA;VIA TOSCANA 9/11 - Z.I. MACROLOTTO;PRATO;59100;PO;FEDERICO VALENTE - Sandro Meoni;s.guazzini@bardazzi.it;2022;8727,71
ALBERTO BARDAZZI SPA;VIA TOSCANA 9/11 - Z.I. MACROLOTTO;PRATO;59100;PO;FEDERICO VALENTE - Sandro Meoni;s.guazzini@bardazzi.it;2023;46217,42
ALBERTO BARDAZZI SPA;VIA TOSCANA 9/11 - Z.I. MACROLOTTO;PRATO;59100;PO;FEDERICO VALENTE - Sandro Meoni;s.guazzini@bardazzi.it;2024;32129,47
ALBERTO BARDAZZI SPA;VIA TOSCANA 9/11 - Z.I. MACROLOTTO;PRATO;59100;PO;FEDERICO VALENTE - Sandro Meoni;s.guazzini@bardazzi.it;2025;5077,5
ALGE - INNOTEX GmbH;RASIS-BUNDT, 10;LUSTENAU - AUSTRIA;6890;;MARTIN KRISS;martin.kriss@alge-innotex.at;2018;6065,08
ALGE - INNOTEX GmbH;RASIS-BUNDT, 10;LUSTENAU - AUSTRIA;6890;;MARTIN KRISS;martin.kriss@alge-innotex.at;2022;4192,46
ALMA SRL;VIA DANIELE MANIN 69;MESTRE;30174;VE;DANILO - MARIAGRAZIA;"andria@nastrificioalma.it; amministrazione@nastrificioalma.it";2021;3823,65
ALMA SRL;VIA DANIELE MANIN 69;MESTRE;30174;VE;DANILO - MARIAGRAZIA;"andria@nastrificioalma.it; amministrazione@nastrificioalma.it";2024;760,36
ALMA SRL;VIA DANIELE MANIN 69;MESTRE;30174;VE;DANILO - MARIAGRAZIA;"andria@nastrificioalma.it; amministrazione@nastrificioalma.it";2025;2121,9
ALOIS TESSITURA SERICA SRL;STRADA STATALE APPIA KM 197,90;VITULAZIO;81041;CE;;"alois@alois.it; tiziana.crisci@alois.it";2018;253,45
ALOIS TESSITURA SERICA SRL;STRADA STATALE APPIA KM 197,90;VITULAZIO;81041;CE;;"alois@alois.it; tiziana.crisci@alois.it";2019;191,8
ALPIN CORAP SAN. TIC. A.S.;Bakir ve Pirinc San. Sit. Mustafa Kurtoglu Cad.18;Beylikduzu, Istanbul  TURKEY;34520;;MESUT ALYAKUT;mesut@alpincorap.com.tr;2020;324,81
ALPIN CORAP SAN. TIC. A.S.;Bakir ve Pirinc San. Sit. Mustafa Kurtoglu Cad.18;Beylikduzu, Istanbul  TURKEY;34520;;MESUT ALYAKUT;mesut@alpincorap.com.tr;2021;14
ALPIN CORAP SAN. TIC. A.S.;Bakir ve Pirinc San. Sit. Mustafa Kurtoglu Cad.18;Beylikduzu, Istanbul  TURKEY;34520;;MESUT ALYAKUT;mesut@alpincorap.com.tr;2022;72856,75
ALPIN CORAP SAN. TIC. A.S.;Bakir ve Pirinc San. Sit. Mustafa Kurtoglu Cad.18;Beylikduzu, Istanbul  TURKEY;34520;;MESUT ALYAKUT;mesut@alpincorap.com.tr;2023;17339,82
ALPIN CORAP SAN. TIC. A.S.;Bakir ve Pirinc San. Sit. Mustafa Kurtoglu Cad.18;Beylikduzu, Istanbul  TURKEY;34520;;MESUT ALYAKUT;mesut@alpincorap.com.tr;2024;89477,31
ALPIN CORAP SAN. TIC. A.S.;Bakir ve Pirinc San. Sit. Mustafa Kurtoglu Cad.18;Beylikduzu, Istanbul  TURKEY;34520;;MESUT ALYAKUT;mesut@alpincorap.com.tr;2025;58837,91
ALSAFIL SPA;VIA LUIGI GALVANI 17/19;CASTIGLIONE DELLE STIVIERE;46043;MN;deborah c. clienti laura c. fornit.;deborah.bisardi@alsafil.it;2010;92313,15
AMAL CALZE SOC. COOP.;Via dei Ciclamini, 16;RACALE;73055;LE;;amalcalzificio@gmail.com;2024;2176,16
AMAL CALZE SOC. COOP.;Via dei Ciclamini, 16;RACALE;73055;LE;;amalcalzificio@gmail.com;2025;3195,45
AMBROFIBRE 97 SRL;VIA GALVANI, 14;CASTIGLIONE DELLE STIVIERE;46043;MN;NATASCIA commerciale@ambrofibre.it;amministrazione@ambrofibre.it;2021;929,76
AMBROFIBRE 97 SRL;VIA GALVANI, 14;CASTIGLIONE DELLE STIVIERE;46043;MN;NATASCIA commerciale@ambrofibre.it;amministrazione@ambrofibre.it;2022;3179,76
AMBROFIBRE 97 SRL;VIA GALVANI, 14;CASTIGLIONE DELLE STIVIERE;46043;MN;NATASCIA commerciale@ambrofibre.it;amministrazione@ambrofibre.it;2023;7197,6
AMBROFIBRE 97 SRL;VIA GALVANI, 14;CASTIGLIONE DELLE STIVIERE;46043;MN;NATASCIA commerciale@ambrofibre.it;amministrazione@ambrofibre.it;2024;2244,62
AMMEGA ITALIA S.P.A.;VIA TRIESTE 16;MATHI;10075;TO;DANIELA GIACOMELLI -FEDERICO AIROLA;laura.fiore@megadynegroup.com;2023;17280,03
AMMEGA ITALIA S.P.A.;VIA TRIESTE 16;MATHI;10075;TO;DANIELA GIACOMELLI -FEDERICO AIROLA;laura.fiore@megadynegroup.com;2025;17358,01
ANDREONI SRL;VIA A. PACINOTTI, 3;VILLASANTA;20852;MB;MATTIA BURINI-LUISA ANDREONI-NADIA;luisa@andreonisnc.it;2022;3738,38
ANDREONI SRL;VIA A. PACINOTTI, 3;VILLASANTA;20852;MB;MATTIA BURINI-LUISA ANDREONI-NADIA;luisa@andreonisnc.it;2023;5642,16
ANTORAF S.R.L.  ;VIA SPINETO 14/O/P;Loc. Piane di FALERONE;63837;FM;ANDREA VERDUCCI;amministrazione@antoraf.it;2023;56,3
ANTORAF S.R.L.  ;VIA SPINETO 14/O/P;Loc. Piane di FALERONE;63837;FM;ANDREA VERDUCCI;amministrazione@antoraf.it;2024;768,96
ANTORAF S.R.L.  ;VIA SPINETO 14/O/P;Loc. Piane di FALERONE;63837;FM;ANDREA VERDUCCI;amministrazione@antoraf.it;2025;200
ANZICHI GIULIO;VIA GRAMSCI 15;CALCINATO;25011;BS;ANZICHI GIULIO;giulio.anzichi@alice.it;2017;1358,9
ANZICHI GIULIO;VIA GRAMSCI 15;CALCINATO;25011;BS;ANZICHI GIULIO;giulio.anzichi@alice.it;2018;153,59
ARCOS SRL UNIPERSONALE;VIA DELL'ARTIGIANATO 47;TRAVAGLIATO;25039;BS;GIUSEPPE VALCAMONICO;"arcos@socksarcos.com; vanessa@socksarcos.com";2010;43013,07
ARCOS SRL UNIPERSONALE;VIA DELL'ARTIGIANATO 47;TRAVAGLIATO;25039;BS;GIUSEPPE VALCAMONICO;"arcos@socksarcos.com; vanessa@socksarcos.com";2011;-1077,64
ARCOS SRL UNIPERSONALE;VIA DELL'ARTIGIANATO 47;TRAVAGLIATO;25039;BS;GIUSEPPE VALCAMONICO;"arcos@socksarcos.com; vanessa@socksarcos.com";2019;7713,09
ARPEX TEXTILES S.R.L.;Via Foggia, 47;Barletta;76121;BT;GiuseppeMusti-CinziaGambatesa-Valer;posta@arpexsrl.it;2024;26458,51
ARPEX TEXTILES S.R.L.;Via Foggia, 47;Barletta;76121;BT;GiuseppeMusti-CinziaGambatesa-Valer;posta@arpexsrl.it;2025;20625,21
ARTEMISIA SRL;STRADA ACQUAFREDDA 14 L/K;CASTEL GOFFREDO ;46042;MN;;contabilita@intimoartemisia.com;2017;346,96
ARTEMISIA SRL;STRADA ACQUAFREDDA 14 L/K;CASTEL GOFFREDO ;46042;MN;;contabilita@intimoartemisia.com;2019;39808,96
ARTEMISIA SRL;STRADA ACQUAFREDDA 14 L/K;CASTEL GOFFREDO ;46042;MN;;contabilita@intimoartemisia.com;2020;26152,71
ARTEMISIA SRL;STRADA ACQUAFREDDA 14 L/K;CASTEL GOFFREDO ;46042;MN;;contabilita@intimoartemisia.com;2021;116,1
ARTEMISIA SRL;STRADA ACQUAFREDDA 14 L/K;CASTEL GOFFREDO ;46042;MN;;contabilita@intimoartemisia.com;2022;3689,65
ARTEMISIA SRL;STRADA ACQUAFREDDA 14 L/K;CASTEL GOFFREDO ;46042;MN;;contabilita@intimoartemisia.com;2023;376,6
ARTEMISIA SRL;STRADA ACQUAFREDDA 14 L/K;CASTEL GOFFREDO ;46042;MN;;contabilita@intimoartemisia.com;2024;377
ATHENA CALZE SRL;VIA VIRGILIO 90;CASTEL GOFFREDO;46042;MN;DENISE ACCORSI;raffaella@athenacalze.it;2016;2672,63
ATHENA CALZE SRL;VIA VIRGILIO 90;CASTEL GOFFREDO;46042;MN;DENISE ACCORSI;raffaella@athenacalze.it;2017;2323,84
ATHENA CALZE SRL;VIA VIRGILIO 90;CASTEL GOFFREDO;46042;MN;DENISE ACCORSI;raffaella@athenacalze.it;2018;2427,21
ATHENA CALZE SRL;VIA VIRGILIO 90;CASTEL GOFFREDO;46042;MN;DENISE ACCORSI;raffaella@athenacalze.it;2019;538,22
ATHENA CALZE SRL;VIA VIRGILIO 90;CASTEL GOFFREDO;46042;MN;DENISE ACCORSI;raffaella@athenacalze.it;2020;615,52
ATHENA CALZE SRL;VIA VIRGILIO 90;CASTEL GOFFREDO;46042;MN;DENISE ACCORSI;raffaella@athenacalze.it;2021;840,95
ATHENA CALZE SRL;VIA VIRGILIO 90;CASTEL GOFFREDO;46042;MN;DENISE ACCORSI;raffaella@athenacalze.it;2022;788,87
ATHENA CALZE SRL;VIA VIRGILIO 90;CASTEL GOFFREDO;46042;MN;DENISE ACCORSI;raffaella@athenacalze.it;2025;593,12
Alge Elastic GmbH;Rasis Bündt 10 (Industriezone Nord);Lustenau - AUSTRIA;A6890;;Werner Erhart;nina.moosmann@algeelastic.at;2016;10298,86
Alge Elastic GmbH;Rasis Bündt 10 (Industriezone Nord);Lustenau - AUSTRIA;A6890;;Werner Erhart;nina.moosmann@algeelastic.at;2017;18258,63
B.EMME. GI. TESSITURA SNC;VIA CANALE 74;VERTOVA;24029;BG;MAURIZIO3393050128;bmgtessitura@gmail.com;2022;797,72
BANDAVEJ di VAGLIO TESSITORE;C.SO SAN MAURIZIO 25/A;BIELLA;13900;BI;VAGLIO FILIPPO ;info@bandavej.com;2014;400
BANDAVEJ di VAGLIO TESSITORE;C.SO SAN MAURIZIO 25/A;BIELLA;13900;BI;VAGLIO FILIPPO ;info@bandavej.com;2015;962,4
BASSINI ANGELO & C. Snc - Calzificio;VIA S. MARTINO 5;FARFENGO DI BORGO S. GIACOMO;25022;BS;MARINA BASSINI;marina@calzebassini.it;2019;1358,41
BATTAGLIO Cav. NORBERTO;VIA G. DI VITTORIO 13;CASTELMELLA;25030;BS;Cav. NORBERTO padre  CLAUDIOfiglio;claudiobattaglio@alice.it;2023;2017,81
BATTAGLIO Cav. NORBERTO;VIA G. DI VITTORIO 13;CASTELMELLA;25030;BS;Cav. NORBERTO padre  CLAUDIOfiglio;claudiobattaglio@alice.it;2024;1949,38
BATTAGLIO Cav. NORBERTO;VIA G. DI VITTORIO 13;CASTELMELLA;25030;BS;Cav. NORBERTO padre  CLAUDIOfiglio;claudiobattaglio@alice.it;2025;5618,2
BERTELLI LUIGI SRL;VIA PADANA SUPERIORE, 133;CASTEGNATO;25045;BS;ANDREA FIGLIO LUIGI PADRE;;2011;5704,4
BERTHEAS ET CIE;PARC D'ACTIVITES DE STELYTEC BP28;ST CHAMOND CEDEX - FRANCE;42401;;;"s.spatti@nyfil.eu;silviacrepaldi@i-dika.com";2015;265,53
BEST CALZE S.R.L.;S.P.ANDRIA-TRANI KM 2,20-CONTRADA LAMAPAOLA Z.I.;ANDRIA;76123;BT;SIG.VINCENZO-MICHELE;"info@bestcalze.com; ufficiocommerciale@bestcalze.com";2016;1527,15
BEST CALZE S.R.L.;S.P.ANDRIA-TRANI KM 2,20-CONTRADA LAMAPAOLA Z.I.;ANDRIA;76123;BT;SIG.VINCENZO-MICHELE;"info@bestcalze.com; ufficiocommerciale@bestcalze.com";2017;1016,77
BEST CALZE S.R.L.;S.P.ANDRIA-TRANI KM 2,20-CONTRADA LAMAPAOLA Z.I.;ANDRIA;76123;BT;SIG.VINCENZO-MICHELE;"info@bestcalze.com; ufficiocommerciale@bestcalze.com";2018;1298,15
BEST CALZE S.R.L.;S.P.ANDRIA-TRANI KM 2,20-CONTRADA LAMAPAOLA Z.I.;ANDRIA;76123;BT;SIG.VINCENZO-MICHELE;"info@bestcalze.com; ufficiocommerciale@bestcalze.com";2019;2232,39
BEST CALZE S.R.L.;S.P.ANDRIA-TRANI KM 2,20-CONTRADA LAMAPAOLA Z.I.;ANDRIA;76123;BT;SIG.VINCENZO-MICHELE;"info@bestcalze.com; ufficiocommerciale@bestcalze.com";2020;173,79
BEST CALZE S.R.L.;S.P.ANDRIA-TRANI KM 2,20-CONTRADA LAMAPAOLA Z.I.;ANDRIA;76123;BT;SIG.VINCENZO-MICHELE;"info@bestcalze.com; ufficiocommerciale@bestcalze.com";2024;202,8
BOTA NV;STADIONLAAN 12-16;DEINZE-BELGIUM;9800;;PHILIPPE MOERKENS;invoices@bota.be ;2024;758,58
BREITEX GMBH;DITTERSDORFER STR. 18;AMTSBERG - GERMANY;9439;;;"m.oertel@breitex.de, buchhaltung@breitex.de; h.kopper-wilhelm@breitex.de";2023;7380,57
BREITEX GMBH;DITTERSDORFER STR. 18;AMTSBERG - GERMANY;9439;;;"m.oertel@breitex.de, buchhaltung@breitex.de; h.kopper-wilhelm@breitex.de";2024;4418,65
BREITEX GMBH;DITTERSDORFER STR. 18;AMTSBERG - GERMANY;9439;;;"m.oertel@breitex.de, buchhaltung@breitex.de; h.kopper-wilhelm@breitex.de";2025;2107,55
BRUNO CHIARUTTINI SRL;VIA PAPA GIOVANNI XXIII;REZZATO;25086;BS;Niccolò ;"info@accapi.com; alessandro@accapi.com";2016;956,12
BRUNO CHIARUTTINI SRL;VIA PAPA GIOVANNI XXIII;REZZATO;25086;BS;Niccolò ;"info@accapi.com; alessandro@accapi.com";2020;588,2
BVBA BEERNAERT;ANNEKENSSTRAAT 1;OUDENAARDE - BELGIUM;9700;;DIDIER BEERNAERT;didier.beernaert@beernaertsocks.be;2019;7846,27
BVBA BEERNAERT;ANNEKENSSTRAAT 1;OUDENAARDE - BELGIUM;9700;;DIDIER BEERNAERT;didier.beernaert@beernaertsocks.be;2020;9870,09
BVBA BEERNAERT;ANNEKENSSTRAAT 1;OUDENAARDE - BELGIUM;9700;;DIDIER BEERNAERT;didier.beernaert@beernaertsocks.be;2021;14844,94
BVBA BEERNAERT;ANNEKENSSTRAAT 1;OUDENAARDE - BELGIUM;9700;;DIDIER BEERNAERT;didier.beernaert@beernaertsocks.be;2022;7849,41
Bettina Sam;Avenue Crovetto Frères, 2 B.P. 808;Monaco Cedex;98012;;Diego Miseria;"robbiati@bettina.mc; facturation@bettina.mc; charpentier@bettina.mc";2023;1020,25
Bettina Sam;Avenue Crovetto Frères, 2 B.P. 808;Monaco Cedex;98012;;Diego Miseria;"robbiati@bettina.mc; facturation@bettina.mc; charpentier@bettina.mc";2024;11110,55
Bettina Sam;Avenue Crovetto Frères, 2 B.P. 808;Monaco Cedex;98012;;Diego Miseria;"robbiati@bettina.mc; facturation@bettina.mc; charpentier@bettina.mc";2025;1932,48
